,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
3,114,Sample15,46.5,45.0,45.0,45.0,46.5,5288.282,10570.353,49.5,1701.2,3403.056,4408.12,2023.288,48.0,49.5,46.5,45.0,45.0,1759.347,46.5,45.0,1762.83
39,200,Sample16,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,155.6,46.5,45.0,111.26
41,201,Sample17,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
10,202,Sample18,46.5,45.0,45.0,45.0,46.5,46.5,144.951,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,4548.785,46.5,45.0,7709.586
58,204,Sample20,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,626.549,790.035,800.125,266.09,45.0,563.424,233.083,45.0
33,205,Sample21,46.5,45.0,45.0,45.0,726.562,770.493,349.299,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
24,206,Sample22,46.5,45.0,45.0,45.0,208.097,215.639,81.082,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,1011.203
56,207,Sample23,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
11,210,Sample26,59.57,54.112,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,528.681,839.625,767.674,247.806,45.0,503.792,154.938,45.0
25,212,Sample28,46.5,45.0,90.151,371.66,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,251.493,1017.227,46.5,288.118,1729.413
40,213,Sample29,46.5,45.0,45.0,45.0,46.5,46.5,46.5,49.5,48.0,48.0,48.0,48.0,48.0,49.5,46.5,45.0,45.0,45.0,46.5,45.0,45.0
